PLAYER_NAME,STL,BLK,DREB,RIM_FGM,RIM_FGA,RIM_FG_PCT
Steve Blake,0.4,0.1,1.4,0.6,1.1,0.61
Ryan Kelly,0.4,0.3,2.8,1.0,1.8,0.56
Thomas Robinson,0.5,0.5,3.1,1.8,3.6,0.5
Ed Davis,0.7,0.9,4.6,2.5,5.5,0.46
Tyler Ennis,0.5,0.0,1.3,0.6,0.9,0.68
Andrew Bogut,0.5,1.6,5.3,2.9,6.4,0.45
JaVale McGee,0.1,0.8,2.4,1.7,2.9,0.58
Andre Roberson,0.8,0.6,2.5,1.0,1.9,0.52
Nemanja Bjelica,0.4,0.4,2.7,2.2,3.7,0.59
Kendall Marshall,0.5,0.1,0.9,0.4,0.6,0.63
Miles Plumlee,0.3,0.8,2.3,2.3,4.5,0.52
Kyle Anderson,0.8,0.4,2.8,0.5,1.1,0.48
Rashad Vaughn,0.4,0.2,1.1,0.5,0.9,0.57
Cole Aldrich,0.8,1.1,3.4,2.3,4.7,0.49
John Jenkins,0.2,0.0,1.1,0.4,0.6,0.63
Jonas Jerebko,0.3,0.3,2.7,1.0,2.0,0.51
Shabazz Napier,0.4,0.0,0.8,0.3,0.5,0.65
Quincy Acy,0.5,0.4,2.1,1.4,2.8,0.52
Brandon Rush,0.3,0.3,2.2,0.8,1.5,0.5
Joe Ingles,0.7,0.0,1.6,0.4,0.7,0.53
Noah Vonleh,0.3,0.3,2.7,1.2,2.4,0.48
Josh McRoberts,0.4,0.2,2.0,1.1,2.4,0.47
Solomon Hill,0.6,0.2,2.2,0.7,1.4,0.52
James Anderson,0.4,0.3,1.4,0.5,1.1,0.46
Bismack Biyombo,0.2,1.6,5.8,3.1,6.8,0.45
Alonzo Gee,0.9,0.2,2.5,1.1,1.9,0.57
Darrun Hilliard,0.2,0.0,1.1,0.2,0.3,0.58
Drew Gooden,0.3,0.4,1.9,1.0,2.0,0.53
Willie Reed,0.2,0.8,1.9,1.5,3.2,0.46
Glenn Robinson,0.4,0.2,1.2,0.4,0.9,0.49
Kelly Oubre,0.3,0.1,1.7,0.6,1.0,0.62
Axel Toupane,0.3,0.3,1.1,0.5,0.8,0.59
Kyle Singler,0.4,0.1,1.3,1.0,1.7,0.58
Jeff Withey,0.4,1.0,2.3,1.8,4.1,0.43
Johnny O'Bryant,0.3,0.1,1.7,1.0,2.0,0.53
Justin Anderson,0.3,0.5,2.1,0.5,0.9,0.56
Kevin Garnett,0.7,0.3,3.6,1.5,2.9,0.51
Dewayne Dedmon,0.4,0.8,2.8,1.8,3.9,0.46
Robert Sacre,0.2,0.4,1.6,1.7,3.0,0.57
Tayshaun Prince,0.5,0.2,1.5,0.9,1.6,0.55
Omer Asik,0.3,0.3,4.3,2.4,4.5,0.53
Kirk Hinrich,0.3,0.0,1.3,0.5,1.0,0.49
Luc Mbah a Moute,0.6,0.3,1.5,0.9,1.6,0.53
Chris Johnson,0.5,0.3,1.5,0.5,1.0,0.49
Tarik Black,0.4,0.5,2.9,1.5,3.2,0.48
Reggie Bullock,0.3,0.1,1.5,0.6,0.9,0.6
Andre Miller,0.4,0.0,1.0,0.3,0.5,0.65
Kostas Papanikolaou,0.5,0.2,1.2,0.5,1.2,0.42
Sonny Weems,0.2,0.0,1.1,0.3,0.4,0.71
Pablo Prigioni,0.9,0.0,1.3,0.6,0.9,0.69
Cristiano Felicio,0.2,0.4,2.3,1.1,2.6,0.43
Salah Mejri,0.2,1.1,2.4,1.5,3.9,0.39
Lamar Patterson,0.3,0.1,1.3,0.6,1.1,0.54
Kendrick Perkins,0.3,0.3,2.8,1.8,3.4,0.55
Nick Collison,0.3,0.3,1.7,1.0,2.2,0.47
Sergey Karasev,0.2,0.1,1.3,0.6,1.1,0.53
