PLAYER_NAME,Transition,Isolation,PRBallHandler,PRRollman,Postup,Spotup,Handoff,Cut,OffScreen,OffRebound
Steven Adams,7.01,0,0,24.71,7.35,0,0,29.38,0,19.53
Maurice Harkless,16.73,3.65,6.15,2.12,4.42,28.08,3.46,12.5,4.62,12.88
Josh Richardson,12.84,4.78,24.48,0,0,40.3,3.88,2.99,0,0
Willie Cauley-Stein,18.24,2.93,0,14.19,5.63,4.5,0,28.6,0,18.92
Dante Cunningham,18.86,0,3.85,4.46,0,43.61,2.84,11.56,2.23,4.46
Tim Hardaway Jr.,26.86,0,8.41,0,0,35.6,7.44,0,11.97,0
Jason Terry,19.68,3.43,13.96,0,0,44.16,5.49,0,4.35,0
Markel Brown,17.18,3.1,23.63,0,0,28.88,3.82,4.53,8.83,3.34
Raul Neto,13.98,5.56,27.78,0,0,33.15,10.22,2.15,0,0
Clint Capela,12.84,0,0,18.53,4.4,0,0,29.17,0,23.49
Jerian Grant,15.69,9.64,34.97,0,0,19.28,4.91,3.78,4.73,0
Seth Curry,17.44,4.63,27.76,0,0,27.05,4.63,0,11.03,0
John Henson,6.16,0,0,21.92,14.04,3.45,0,29.56,0,14.29
Tristan Thompson,7.28,0,0,20.98,5.75,2.54,0,28.26,0,23.52
Mike Scott,15.88,0,0,18.79,8.05,28.19,0,15.21,0,5.59
Metta World Peace,8.68,11.42,10.05,0,17.35,28.31,9.13,0,0,5.48
Boris Diaw,6.09,4.52,0,11.39,38.51,20.04,0,8.06,0,3.73
Roy Hibbert,3.25,0,0,17.0,29.29,12.12,0,11.75,0,12.48
Channing Frye,9.39,0,0,17.13,5.38,35.87,0,5.38,9.87,5.38
Thabo Sefolosha,25.88,0,9.11,0,0,29.19,3.93,13.66,3.31,4.35
Festus Ezeli,5.56,0,0,16.05,21.3,0,0,30.25,0,15.74
Trevor Booker,12.86,1.92,0,16.12,3.26,16.89,0,18.23,0,19.39
Anthony Morrow,16.02,4.97,4.42,0,0,46.13,6.35,3.04,11.6,0
Tyler Zeller,10.44,0,0,34.46,6.27,9.66,0,16.71,2.87,10.7
Shaun Livingston,15.12,6.85,12.7,0,19.15,9.07,4.03,17.74,0,3.63
Cameron Payne,13.21,3.3,45.65,0,0,24.92,3.3,0,0,0
Ronnie Price,17.31,9.56,20.16,0,0,32.56,8.01,0,2.84,0
Brandon Bass,12.12,6.53,0,27.27,11.42,4.9,0,17.72,0,12.35
Norman Powell,23.78,0,19.58,0,0,37.76,0,3.5,5.59,0
Larry Nance Jr.,11.45,3.91,0,11.45,0,21.51,0,19.83,3.63,15.08
Rondae Hollis-Jefferson,22.22,5.82,11.11,0,0,23.81,0,8.47,0,9.52
Tyson Chandler,4.97,0,0,18.01,8.28,4.14,0,26.71,0,21.53
Timofey Mozgov,7.22,0,0,16.77,18.05,9.98,0,32.27,0,8.7
Aron Baynes,5.3,0,0,22.35,17.61,4.55,0,18.37,0,18.37
Lavoy Allen,8.47,0,0,17.16,8.47,13.56,0,22.03,0,19.07
Anthony Tolliver,14.25,0,0,10.82,0,55.15,0,3.17,8.18,0
Joakim Noah,6.9,0,0,9.85,4.93,7.88,0,14.29,0,29.56
Chris McCullough,13.24,0,0,21.32,0,30.88,0,9.56,0,9.56
Sasha Vujacic,14.79,0,10.65,0,0,34.91,11.83,0,16.27,0
Beno Udrih,10.89,0,42.11,0,0,21.05,13.37,0,0,0
Jonathon Simmons,19.39,8.18,15.76,0,0,28.18,6.36,7.88,4.85,0
Richaun Holmes,8.39,0,0,21.33,4.2,14.34,0,26.22,0,13.64
Troy Daniels,9.77,0,8.37,0,0,37.21,10.23,0,24.19,0
Marcelo Huertas,13.75,3.13,48.44,0,0,11.88,5.94,3.44,0,0
JaKarr Sampson,21.92,4.35,5.69,0,0,33.56,8.22,17.81,0,6.85
Justin Holiday,27.78,5.73,16.67,0,0,41.11,9.38,0,5.73,0
Tyus Jones,17.33,7.92,40.59,0,0,18.32,0,0,0,0
Anthony Brown,18.79,0,6.71,0,0,42.28,7.38,0,9.4,0
Jarell Martin,10.43,7.36,0,14.72,9.2,14.72,0,16.56,0,17.18
Tiago Splitter,4.98,0,0,15.92,13.43,0,0,38.31,0,14.93
Dwight Powell,6.47,0,0,23.38,0,14.43,0,26.87,9.45,9.2
Amar'e Stoudemire,4.04,0,0,27.27,19.19,3.7,0,19.53,3.7,14.14
Kevin Seraphin,5.81,5.43,0,13.57,43.41,6.98,0,10.85,0,4.65
James Johnson,15.43,17.28,6.48,0,5.56,30.56,0,6.48,4.01,5.25
Richard Jefferson,16.41,4.1,6.41,0,0,47.69,7.95,5.38,4.87,0
Kyle O'Quinn,6.39,6.39,0,19.72,18.33,14.72,0,14.17,0,10.0
