Kévin Théophile-Catherine,Rennes,2011-2012,"defensive_5,passing_5,control_4,attack_2",0.2(0.04651162790697675),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.3(0.058823529411764705)
Víctor Hugo Montaño,Rennes,2011-2012,"defensive_1,passing_5,control_0,attack_5",0.9(0.20930232558139536),1.7(0.3953488372093023),0.6(0.16666666666666666),0.1(0.125),1.9(0.37254901960784315)
Julien Féret,Rennes,2011-2012,"defensive_1,passing_4,control_4,attack_5",0.9(0.20930232558139536),1.1(0.2558139534883721),0.1(0.02777777777777778),0.1(0.125),1.3(0.25490196078431376)
Jonathan Pitroipa,Rennes,2011-2012,"defensive_1,passing_0,control_0,attack_5",0.7(0.1627906976744186),1.3(0.3023255813953489),0.1(0.02777777777777778),0.1(0.125),1.7(0.33333333333333337)
Onyekachi Apam,Rennes,2011-2012,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Jires Kembo-Ekoko,Rennes,2011-2012,"defensive_1,passing_4,control_0,attack_4",3.2(0.744186046511628),1.6(0.372093023255814),0.0(0.0),0.1(0.125),3.6(0.7058823529411765)
Alexander Tettey,Rennes,2010-2011,"defensive_5,passing_5,control_4,attack_1",0.7(0.1627906976744186),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),1.1(0.21568627450980396)
Romain Danze,Rennes,2010-2011,"defensive_5,passing_5,control_1,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Jerome Leroy,Rennes,2010-2011,"defensive_1,passing_4,control_0,attack_1",1.0(0.23255813953488372),0.4(0.0930232558139535),0.0(0.0),0.1(0.125),1.1(0.21568627450980396)
Yacine Brahimi,Rennes,2010-2011,"defensive_1,passing_0,control_0,attack_1",0.9(0.20930232558139536),0.7(0.1627906976744186),0.0(0.0),0.0(0.0),1.2(0.23529411764705882)
Samuel Souprayen,Rennes,2010-2011,"defensive_5,passing_2,control_2,attack_2",0.0(0.0),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Stéphane Dalmat,Rennes,2010-2011,"defensive_5,passing_5,control_4,attack_1",1.0(0.23255813953488372),0.5(0.11627906976744186),0.1(0.02777777777777778),0.0(0.0),1.3(0.25490196078431376)
Abdoul Camara,Rennes,2010-2011,"defensive_1,passing_5,control_0,attack_5",0.6(0.13953488372093023),1.3(0.3023255813953489),0.0(0.0),0.0(0.0),1.9(0.37254901960784315)
Rod Fanni,Rennes,2010-2011,"defensive_2,passing_2,control_1,attack_2",0.0(0.0),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Georges Mandjeck,Rennes,2010-2011,"defensive_5,passing_2,control_3,attack_1",0.5(0.11627906976744186),0.3(0.06976744186046512),0.2(0.05555555555555556),0.1(0.125),0.5(0.09803921568627452)
Jean-Armel Kana-Biyik,Rennes,2010-2011,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Nicolas Douchez,Rennes,2010-2011,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Fabien Lemoine,Rennes,2010-2011,"defensive_5,passing_0,control_4,attack_1",1.5(0.3488372093023256),0.0(0.0),0.0(0.0),0.0(0.0),1.0(0.19607843137254904)
Sylvain Marveaux,Rennes,2010-2011,"defensive_1,passing_4,control_3,attack_1",0.8(0.186046511627907),0.8(0.186046511627907),0.0(0.0),0.0(0.0),1.0(0.19607843137254904)
Razak Boukari,Rennes,2010-2011,"defensive_1,passing_5,control_0,attack_4",1.1(0.2558139534883721),0.8(0.186046511627907),0.4(0.11111111111111112),0.1(0.125),1.6(0.3137254901960785)
Tongo Doumbia,Rennes,2010-2011,"defensive_5,passing_2,control_0,attack_2",0.3(0.06976744186046512),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Yann M'Vila,Rennes,2010-2011,"defensive_5,passing_3,control_4,attack_2",0.6(0.13953488372093023),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Kévin Théophile-Catherine,Rennes,2010-2011,"defensive_5,passing_2,control_2,attack_2",0.4(0.0930232558139535),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.3(0.058823529411764705)
Víctor Hugo Montaño,Rennes,2010-2011,"defensive_1,passing_5,control_0,attack_5",0.6(0.13953488372093023),1.4(0.3255813953488372),0.3(0.08333333333333333),0.1(0.125),1.7(0.33333333333333337)
Kader Mangane,Rennes,2010-2011,"defensive_3,passing_2,control_2,attack_3",0.2(0.04651162790697675),0.7(0.1627906976744186),0.6(0.16666666666666666),0.0(0.0),0.2(0.03921568627450981)
Jires Kembo-Ekoko,Rennes,2010-2011,"defensive_1,passing_0,control_0,attack_4",1.6(0.372093023255814),1.6(0.372093023255814),0.2(0.05555555555555556),0.2(0.25),2.4(0.47058823529411764)
Cheikh M'Bengue,Rennes,2015-2016,"defensive_4,passing_2,control_2,attack_2",0.0(0.0),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Ousmane Dembélé,Rennes,2015-2016,"defensive_0,passing_0,control_0,attack_5",0.9(0.20930232558139536),1.5(0.3488372093023256),0.1(0.02777777777777778),0.0(0.0),2.1(0.411764705882353)
Romain Danze,Rennes,2015-2016,"defensive_2,passing_5,control_2,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Giovanni Sio,Rennes,2015-2016,"defensive_0,passing_5,control_5,attack_5",0.4(0.0930232558139535),1.7(0.3953488372093023),0.8(0.22222222222222224),0.0(0.0),1.8(0.35294117647058826)
Sylvain Armand,Rennes,2015-2016,"defensive_2,passing_2,control_1,attack_2",0.2(0.04651162790697675),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Paul-Georges Ntep,Rennes,2015-2016,"defensive_1,passing_4,control_0,attack_4",1.3(0.3023255813953489),0.7(0.1627906976744186),0.0(0.0),0.0(0.0),1.7(0.33333333333333337)
Fallou Diagne,Rennes,2015-2016,"defensive_2,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.5(0.11627906976744186),0.3(0.08333333333333333),0.0(0.0),0.1(0.019607843137254905)
Pedro Henrique,Rennes,2015-2016,"defensive_4,passing_5,control_5,attack_4",1.3(0.3023255813953489),1.3(0.3023255813953489),0.4(0.11111111111111112),0.0(0.0),2.5(0.4901960784313726)
Benoit Costil,Rennes,2015-2016,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Jeremie Boga,Rennes,2015-2016,"defensive_0,passing_5,control_0,attack_1",1.0(0.23255813953488372),0.9(0.20930232558139536),0.3(0.08333333333333333),0.1(0.125),1.4(0.27450980392156865)
Ludovic Baal,Rennes,2015-2016,"defensive_4,passing_5,control_4,attack_2",0.0(0.0),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Gelson Fernandes,Rennes,2015-2016,"defensive_4,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Kamil Grosicki,Rennes,2015-2016,"defensive_0,passing_0,control_0,attack_4",1.3(0.3023255813953489),1.6(0.372093023255814),0.1(0.02777777777777778),0.1(0.125),2.4(0.47058823529411764)
Abdoulaye Doucouré,Rennes,2015-2016,"defensive_0,passing_0,control_4,attack_5",0.7(0.1627906976744186),1.0(0.23255813953488372),0.7(0.19444444444444442),0.0(0.0),1.4(0.27450980392156865)
Mexer,Rennes,2015-2016,"defensive_2,passing_2,control_2,attack_2",0.0(0.0),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Steven Moreira,Rennes,2015-2016,"defensive_4,passing_5,control_1,attack_2",0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Juan Quintero,Rennes,2015-2016,"defensive_1,passing_0,control_0,attack_1",1.3(0.3023255813953489),0.4(0.0930232558139535),0.0(0.0),0.0(0.0),1.2(0.23529411764705882)
Yacouba Sylla,Rennes,2015-2016,"defensive_4,passing_3,control_4,attack_2",0.4(0.0930232558139535),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.4(0.07843137254901962)
Pedro Mendes,Rennes,2015-2016,"defensive_2,passing_2,control_2,attack_2",0.2(0.04651162790697675),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Mehdi Zeffane,Rennes,2015-2016,"defensive_4,passing_5,control_4,attack_1",0.9(0.20930232558139536),0.4(0.0930232558139535),0.0(0.0),0.0(0.0),1.2(0.23529411764705882)
Benjamin André,Rennes,2015-2016,"defensive_4,passing_3,control_5,attack_3",0.3(0.06976744186046512),0.3(0.06976744186046512),0.3(0.08333333333333333),0.0(0.0),0.4(0.07843137254901962)
Renato Civelli,Nice,2009-2010,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Kafoumba Coulibaly,Nice,2009-2010,"defensive_5,passing_5,control_1,attack_2",0.4(0.0930232558139535),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Larrys Mabiala,Nice,2009-2010,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.0(0.0),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Gérald Cid,Nice,2009-2010,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Olivier Echouafni,Nice,2009-2010,"defensive_2,passing_2,control_1,attack_3",0.1(0.023255813953488375),0.3(0.06976744186046512),0.3(0.08333333333333333),0.0(0.0),0.1(0.019607843137254905)
David Hellebuyck,Nice,2009-2010,"defensive_5,passing_5,control_3,attack_1",1.5(0.3488372093023256),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),1.3(0.25490196078431376)
Anthony Mounier,Nice,2009-2010,"defensive_5,passing_4,control_3,attack_1",0.7(0.1627906976744186),1.0(0.23255813953488372),0.3(0.08333333333333333),0.0(0.0),1.5(0.29411764705882354)
Mamadou Bagayoko,Nice,2009-2010,"defensive_1,passing_5,control_3,attack_5",0.3(0.06976744186046512),1.0(0.23255813953488372),0.5(0.1388888888888889),0.1(0.125),1.1(0.21568627450980396)
Drissa Diakité,Nice,2009-2010,"defensive_5,passing_5,control_1,attack_2",0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Grégory Paisley,Nice,2009-2010,"defensive_3,passing_2,control_1,attack_2",0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Loïc Remy,Nice,2009-2010,"defensive_1,passing_5,control_3,attack_0",1.2(0.27906976744186046),2.1(0.48837209302325585),0.4(0.11111111111111112),0.3(0.37499999999999994),2.4(0.47058823529411764)
Julien Sablé,Nice,2009-2010,"defensive_5,passing_5,control_1,attack_1",1.0(0.23255813953488372),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.7(0.13725490196078433)
Didier Digard,Nice,2009-2010,"defensive_2,passing_2,control_3,attack_1",0.8(0.186046511627907),0.2(0.04651162790697675),0.0(0.0),0.1(0.125),0.4(0.07843137254901962)
Chaouki Ben Saada,Nice,2009-2010,"defensive_1,passing_4,control_3,attack_4",1.4(0.3255813953488372),0.8(0.186046511627907),0.1(0.02777777777777778),0.1(0.125),1.5(0.29411764705882354)
Emerse Faé,Nice,2009-2010,"defensive_5,passing_5,control_3,attack_1",0.7(0.1627906976744186),0.5(0.11627906976744186),0.1(0.02777777777777778),0.0(0.0),1.0(0.19607843137254904)
Ismaël Gace,Nice,2009-2010,"defensive_2,passing_2,control_1,attack_2",0.0(0.0),0.1(0.023255813953488375),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Onyekachi Apam,Nice,2009-2010,"defensive_3,passing_2,control_1,attack_2",0.3(0.06976744186046512),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
David Ospina,Nice,2009-2010,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Darío Cvitanich,Nice,2013-2014,"defensive_1,passing_5,control_0,attack_5",0.3(0.06976744186046512),1.4(0.3255813953488372),0.4(0.11111111111111112),0.0(0.0),1.2(0.23529411764705882)
Éric Bautheac,Nice,2013-2014,"defensive_0,passing_4,control_0,attack_5",0.8(0.186046511627907),1.1(0.2558139534883721),0.3(0.08333333333333333),0.2(0.25),1.1(0.21568627450980396)
Jordan Amavi,Nice,2013-2014,"defensive_2,passing_2,control_4,attack_2",0.2(0.04651162790697675),0.4(0.0930232558139535),0.1(0.02777777777777778),0.0(0.0),0.4(0.07843137254901962)
Kolo,Nice,2013-2014,"defensive_2,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.4(0.0930232558139535),0.2(0.05555555555555556),0.0(0.0),0.2(0.03921568627450981)
Christian Brüls,Nice,2013-2014,"defensive_0,passing_4,control_0,attack_1",0.9(0.20930232558139536),0.7(0.1627906976744186),0.1(0.02777777777777778),0.0(0.0),1.1(0.21568627450980396)
Valentin Eysseric,Nice,2013-2014,"defensive_0,passing_5,control_0,attack_4",1.9(0.4418604651162791),0.9(0.20930232558139536),0.0(0.0),0.0(0.0),1.5(0.29411764705882354)
Grégoire Puel,Nice,2013-2014,"defensive_2,passing_2,control_4,attack_2",0.0(0.0),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Kevin Gomis,Nice,2013-2014,"defensive_2,passing_2,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Nampalys Mendy,Nice,2013-2014,"defensive_0,passing_2,control_4,attack_2",0.2(0.04651162790697675),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Mathieu Bodmer,Nice,2013-2014,"defensive_3,passing_2,control_2,attack_3",0.0(0.0),0.6(0.13953488372093023),0.4(0.11111111111111112),0.0(0.0),0.2(0.03921568627450981)
Mahamane Traoré,Nice,2013-2014,"defensive_0,passing_5,control_4,attack_3",0.1(0.023255813953488375),1.2(0.27906976744186046),0.6(0.16666666666666666),0.0(0.0),0.6(0.11764705882352941)
Romain Genevois,Nice,2013-2014,"defensive_2,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Fabrice Abriel,Nice,2013-2014,"defensive_1,passing_2,control_4,attack_2",0.5(0.11627906976744186),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Didier Digard,Nice,2013-2014,"defensive_4,passing_3,control_4,attack_1",0.8(0.186046511627907),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.7(0.13725490196078433)
Alexy Bosetti,Nice,2013-2014,"defensive_0,passing_5,control_0,attack_1",0.4(0.0930232558139535),0.9(0.20930232558139536),0.0(0.0),0.1(0.125),1.2(0.23529411764705882)
Jérémy Pied,Nice,2013-2014,"defensive_4,passing_5,control_0,attack_1",1.0(0.23255813953488372),0.9(0.20930232558139536),0.1(0.02777777777777778),0.0(0.0),1.7(0.33333333333333337)
Nemanja Pejcinovic,Nice,2013-2014,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
David Ospina,Nice,2013-2014,"defensive_1,passing_2,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Jean Michael Seri,Nice,2016-2017,"defensive_0,passing_3,control_4,attack_1",0.7(0.1627906976744186),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.7(0.13725490196078433)
Maxime Le Marchand,Nice,2016-2017,"defensive_3,passing_3,control_2,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Valentin Eysseric,Nice,2016-2017,"defensive_0,passing_0,control_0,attack_1",0.8(0.186046511627907),0.9(0.20930232558139536),0.2(0.05555555555555556),0.0(0.0),1.4(0.27450980392156865)
Mario Balotelli,Nice,2016-2017,"defensive_0,passing_5,control_0,attack_4",2.1(0.48837209302325585),1.5(0.3488372093023256),0.3(0.08333333333333333),0.1(0.125),2.6(0.5098039215686275)
Vincent Koziello,Nice,2016-2017,"defensive_0,passing_3,control_4,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Wylan Cyprien,Nice,2016-2017,"defensive_1,passing_3,control_3,attack_1",1.3(0.3023255813953489),0.6(0.13953488372093023),0.0(0.0),0.0(0.0),1.5(0.29411764705882354)
Dante,Nice,2016-2017,"defensive_3,passing_3,control_1,attack_2",0.0(0.0),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Dalbert,Nice,2016-2017,"defensive_4,passing_5,control_4,attack_2",0.3(0.06976744186046512),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Malang Sarr,Nice,2016-2017,"defensive_2,passing_3,control_1,attack_2",0.0(0.0),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Alassane Pléa,Nice,2016-2017,"defensive_1,passing_5,control_0,attack_0",1.1(0.2558139534883721),2.2(0.5116279069767442),0.5(0.1388888888888889),0.0(0.0),3.2(0.627450980392157)
Younès Belhanda,Nice,2016-2017,"defensive_0,passing_0,control_0,attack_1",0.7(0.1627906976744186),0.5(0.11627906976744186),0.1(0.02777777777777778),0.0(0.0),1.2(0.23529411764705882)
Remi Walter,Nice,2016-2017,"defensive_0,passing_3,control_4,attack_2",0.2(0.04651162790697675),0.2(0.04651162790697675),0.0(0.0),0.1(0.125),0.2(0.03921568627450981)
Ricardo Pereira,Nice,2016-2017,"defensive_4,passing_0,control_3,attack_1",0.2(0.04651162790697675),0.6(0.13953488372093023),0.0(0.0),0.0(0.0),0.8(0.15686274509803924)
Paul Baysse,Nice,2016-2017,"defensive_3,passing_3,control_2,attack_3",0.0(0.0),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.0(0.0)
Arnaud Souquet,Nice,2016-2017,"defensive_4,passing_2,control_4,attack_2",0.2(0.04651162790697675),0.4(0.0930232558139535),0.1(0.02777777777777778),0.0(0.0),0.5(0.09803921568627452)
Yoan Cardinale,Nice,2016-2017,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Éric Bautheac,Nice,2014-2015,"defensive_0,passing_0,control_0,attack_1",1.0(0.23255813953488372),0.9(0.20930232558139536),0.2(0.05555555555555556),0.1(0.125),1.3(0.25490196078431376)
Jordan Amavi,Nice,2014-2015,"defensive_4,passing_5,control_4,attack_2",0.1(0.023255813953488375),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Carlos Eduardo,Nice,2014-2015,"defensive_0,passing_5,control_0,attack_5",1.4(0.3255813953488372),1.4(0.3255813953488372),0.6(0.16666666666666666),0.2(0.25),1.8(0.35294117647058826)
Valentin Eysseric,Nice,2014-2015,"defensive_0,passing_4,control_0,attack_4",1.6(0.372093023255814),0.7(0.1627906976744186),0.1(0.02777777777777778),0.0(0.0),1.7(0.33333333333333337)
Grégoire Puel,Nice,2014-2015,"defensive_4,passing_2,control_4,attack_2",0.4(0.0930232558139535),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Mouez Hassen,Nice,2014-2015,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Kevin Gomis,Nice,2014-2015,"defensive_2,passing_2,control_2,attack_2",0.0(0.0),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Nampalys Mendy,Nice,2014-2015,"defensive_0,passing_2,control_4,attack_2",0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Niklas Hult,Nice,2014-2015,"defensive_5,passing_5,control_4,attack_1",0.6(0.13953488372093023),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.7(0.13725490196078433)
Mathieu Bodmer,Nice,2014-2015,"defensive_2,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Albert Rafetraniaina,Nice,2014-2015,"defensive_4,passing_2,control_4,attack_2",0.6(0.13953488372093023),0.0(0.0),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Alassane Pléa,Nice,2014-2015,"defensive_0,passing_5,control_0,attack_5",0.7(0.1627906976744186),1.5(0.3488372093023256),0.2(0.05555555555555556),0.1(0.125),1.9(0.37254901960784315)
Lloyd Palun,Nice,2014-2015,"defensive_4,passing_5,control_4,attack_2",0.0(0.0),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Didier Digard,Nice,2014-2015,"defensive_5,passing_3,control_4,attack_1",0.8(0.186046511627907),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.8(0.15686274509803924)
Alexy Bosetti,Nice,2014-2015,"defensive_0,passing_5,control_0,attack_5",0.8(0.186046511627907),1.2(0.27906976744186046),0.4(0.11111111111111112),0.1(0.125),1.8(0.35294117647058826)
Souleymane Diawara,Nice,2014-2015,"defensive_3,passing_2,control_2,attack_3",0.2(0.04651162790697675),0.3(0.06976744186046512),0.3(0.08333333333333333),0.0(0.0),0.2(0.03921568627450981)
Romain Genevois,Nice,2014-2015,"defensive_2,passing_2,control_2,attack_2",0.0(0.0),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Darío Cvitanich,Nice,2012-2013,"defensive_1,passing_5,control_0,attack_5",0.7(0.1627906976744186),1.5(0.3488372093023256),0.4(0.11111111111111112),0.0(0.0),1.6(0.3137254901960785)
Éric Bautheac,Nice,2012-2013,"defensive_1,passing_4,control_0,attack_5",0.6(0.13953488372093023),1.1(0.2558139534883721),0.1(0.02777777777777778),0.2(0.25),1.2(0.23529411764705882)
Kolo,Nice,2012-2013,"defensive_5,passing_5,control_2,attack_2",0.3(0.06976744186046512),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Renato Civelli,Nice,2012-2013,"defensive_3,passing_2,control_2,attack_3",0.0(0.0),1.0(0.23255813953488372),0.9(0.25),0.0(0.0),0.1(0.019607843137254905)
Valentin Eysseric,Nice,2012-2013,"defensive_1,passing_5,control_0,attack_1",1.0(0.23255813953488372),0.9(0.20930232558139536),0.1(0.02777777777777778),0.0(0.0),1.6(0.3137254901960785)
Kevin Gomis,Nice,2012-2013,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Mahamane Traoré,Nice,2012-2013,"defensive_5,passing_2,control_4,attack_1",0.7(0.1627906976744186),0.8(0.186046511627907),0.3(0.08333333333333333),0.0(0.0),1.0(0.19607843137254904)
