name,counts
apuesta,1
apzfnmagni,1
aqeugf1hnl,1
aqezbkdnrn,1
aqnmrtf20i,1
aqqk5suxcd,1
aqwmy9ocro,1
ar,1
aranchamobile,1
ararat,1
araújo,1
arda,7
ardo7lhksl,1
are,441
area,1
areas,1
aren't,9
arena,1
areola,1
arfa,2
argentin,1
argentina,2
argentine,3
argentinian,2
arguably,1
arias,3
ariju5yeh4,1
arms,2
armstrong,1
arnautovic,14
around,38
arrende,1
arriva,1
arrival,9
arrivano,1
arrivare,1
arrivato,2
arrive,16
arrived,15
arrives,5
arriving,2
arrivo,2
arrivé,1
arrivée,2
arrondissement,1
arsenal,372
arsenal's,31
arsenalistas,1
arsenal’s,4
arsene,18
arsène,7
article,5
artificial,1
arturo,1
arw5giaegg,1
arwojb64kj,1
arxygplzs3,1
arzcmf88wr,1
as,443
as's,1
as3gxavwpk,1
as_monaco,6
asano,1
asap,1
asensio,3
asglsiokvy,1
ashenbeats,1
ashfletcher___,1
ashley,3
asia,2
ask,9
ask442,1
asked,45
asking,34
asks,2
aslan'a,1
asm,7
asmfc,6
asmir,2
asmonaco,5
asoro,1
aspiran,1
asqcr3u2hg,1
asr,1
asroma,45
asrviigzs3,1
assault,3
asse,1
assemble,1
assertions,1
assess,1
asset,1
assez,1
assim,1
assister,1
assists,2
association,1
associés,1
assombalonga,2
assume,1
assumption,1
assurance,1
assured,2
assures,1
assuring,1
astiqflamd,1
aston,12
asumiría,1
así,1
at,373
at14otsfcc,1
at5twhpkdc,1
at876ghtpr,1
at96c8wmed,1
atacante,1
atado,1
atalanta,8
atalanta_bc,1
atento,1
atentos,1
athletic,3
atks48od4m,1
atlasdeguadalajara,1
atleti,18
atletico,69
